email,gender,product,price_usd,amount,country,firstname,surname,total_price_usd
bsowrah0@csmonitor.com,Female,Cheese - St. Andre,39.14,90,France,Belvia,Sowrah,3522.6
ohenric1@toplist.cz,Female,Ecolab - Ster Bac,74.98,18,Honduras,Ortensia,Henric,1349.64
rhallatt2@wix.com,Female,Yokaline,69.93,47,United States,Rafaelia,Hallatt,3286.7100000000005
chowick3@jimdo.com,Female,Prunes - Pitted,56.37,25,Azerbaijan,Cathrin,Howick,1409.25
vkordova4@seattletimes.com,Female,Oven Mitts 17 Inch,14.79,62,Brazil,Viola,Kordova,916.9799999999999
lbeeres5@unesco.org,Female,"Fish - Scallops, Cold Smoked",38.43,50,China,Leonora,Beeres,1921.5
mpinniger6@hao123.com,Female,"Pork - Loin, Bone - In",42.08,26,Macedonia,Mufi,Pinniger,1094.08
ptabram7@yale.edu,Female,"Bread - White, Unsliced",81.32,41,Russia,Paulina,Tabram,3334.12
ballden8@squidoo.com,Female,"Bread - Rolls, Corn",79.16,13,Russia,Bell,Allden,1029.08
sheinish9@umich.edu,Male,Beer - Paulaner Hefeweisse,50.72,3,Morocco,Saunderson,Heinish,152.16
kixora@constantcontact.com,Male,Ham - Black Forest,71.82,65,China,Keenan,Ixor,4668.299999999999
dmarmyonb@sogou.com,Female,"Mushroom - Morels, Dry",69.9,81,Brazil,Doris,Marmyon,5661.900000000001
aoliffec@exblog.jp,Female,Beer - Upper Canada Light,82.72,84,China,Arda,Oliffe,6948.48
cbrideld@quantcast.com,Male,Raspberries - Frozen,66.57,62,Russia,Cash,Bridel,4127.339999999999
tjenickef@cmu.edu,Male,Eggplant Oriental,86.19,94,Peru,Tucky,Jenicke,8101.86
cwalewskig@economist.com,Male,Beef - Tenderloin Tails,67.24,45,France,Cooper,Walewski,3025.7999999999997
gmangerh@springer.com,Male,Tea - Green,42.83,79,Portugal,Gamaliel,Manger,3383.5699999999997
esumbleri@tinyurl.com,Female,"Soup - Knorr, Chicken Noodle",6.99,23,China,Ernaline,Sumbler,160.77
gassardj@cpanel.net,Male,"Veal - Tenderloin, Untrimmed",29.8,15,Philippines,Gil,Assard,447.0
agierathsk@craigslist.org,Female,Sprouts - Brussel,95.72,43,Russia,Anica,Gieraths,4115.96
mmapsonl@nhs.uk,Female,"Quail - Whole, Boneless",5.77,19,Poland,Midge,Mapson,109.63
msimionim@nsw.gov.au,Male,Sole - Iqf,32.6,77,Japan,Mikol,Simioni,2510.2000000000003
cbloyo@opera.com,Female,Steamers White,22.44,99,China,Clio,Bloy,2221.56
cgarrickp@odnoklassniki.ru,Female,Crackers Cheez It,51.8,80,Cuba,Cherlyn,Garrick,4144.0
rfarreilq@tiny.cc,Male,Soup Campbells,28.35,82,Japan,Rickey,Farreil,2324.7000000000003
imchirrier@weibo.com,Male,Napkin White,49.35,3,Brazil,Isak,M'Chirrie,148.05
smcgenns@theglobeandmail.com,Male,"Chilli Paste, Sambal Oelek",37.05,70,Thailand,Sawyer,McGenn,2593.5
lfabbriu@google.it,Female,Bread - Mini Hamburger Bun,40.57,94,Portugal,Lorraine,Fabbri,3813.58
tdaffeyv@mysql.com,Female,Anisette - Mcguiness,6.67,30,Poland,Tildie,Daffey,200.1
zhussellw@elpais.com,Female,Lamb - Shoulder,28.89,38,Uganda,Zorina,Hussell,1097.82
gbalassax@sfgate.com,Male,Flower - Commercial Spider,57.55,26,Mexico,Griff,Balassa,1496.3
spagey@nature.com,Female,Onions - Pearl,42.33,70,China,Sylvia,Page,2963.1
decclesz@hexun.com,Female,Sword Pick Asst,70.85,33,Indonesia,Dulci,Eccles,2338.0499999999997
mred11@youtube.com,Male,Beer - Guiness,71.92,54,Philippines,Maximo,Red,3883.6800000000003
lwogan12@columbia.edu,Female,Wild Boar - Tenderloin,94.66,53,France,Leoine,Wogan,5016.98
rstitfall14@weebly.com,Male,"Bag - Bread, White, Plain",70.9,34,Israel,Roderic,Stitfall,2410.6000000000004
